bagian,nilai
Dijieun,2026-06-21
Total entri Tabel Inti,18
Entri kategori INTI,5
Entri perlu verifikasi ngaran,4
Pancer,"Sunda Buhun dibaca minangka kaca panon: Buana, Lemah Cai, Cai, Leuweung, Gunung, Wanci, Laku, Karuhun, Kabuyutan"
Rambu 1,"Ulah ngarang tanggal Kalender Sunda. Kolom Kala Sunda ditandaan Perlu konversi resmi lamun sumberna can kapanggih."
Rambu 2,"Klaim pohon moal hirup lamun nu nanemna teu pas teu diasupkeun jadi bebeneran kuna lamun teu aya sumber naskah/adat anu eces."
Rambu 3,"Taneman/pohon langka teu meunang dicokot bibitna ti alam. Jalurna kudu resmi."
Rambu 4,"Cocok keur jelema dibaca tina laku: boga lahan, cai, ijin, kasepuhan/kaweruh lokal, jeung sanggup ngarawat puluhan taun."
Tingkat A,Naskah/arsip utama
Tingkat B,"Regulasi resmi, museum/arsip, jurnal, buku, laporan lembaga anu bisa dipariksa"
Tingkat C,Catetan adat/komunitas anu kacatet
Tingkat D,"Tafsir anyar anu aman, henteu disebut kuna"
Tingkat X,"Can diverifikasi; kudu ditunda atawa ditolak minangka kaweruh Sunda Buhun"
Catetan,"Arsip awal pikeun GitHub/Pustaka Hirup. Perlu diriksa deui ku ahli botani, ahli naskah Sunda Kuna, jeung pangaping adat/leuweung lokal."
