no,nomor,status,putusan
1,guide-01,B,Pustaka Luar
2,guide-02,B,Pustaka Luar
3,guide-03,B,Pustaka Luar
4,jumlah-manassa,C,catetan
5,jumlah-perpusnas,B,catetan
6,Or 3347,A-C,Pustaka Luar
7,Or 3348,A-C,Pustaka Luar
8,Or 3349,A-C,Pustaka Luar
9,Or 3350,A-C,Pustaka Luar
10,Or 3351,A-C,Pustaka Luar
11,Or 3352,A-C,Pustaka Luar
12,Or 3355a,A-C,Pustaka Luar
13,Or 3355b,A-C,Pustaka Luar
14,Or 3355c,A-C,Pustaka Luar
15,Or 3355d,A-C,Pustaka Luar
16,Or 3355e,A-C,Pustaka Luar
17,Or 3356,A-C,Pustaka Luar
18,Or 3357a,A-C,Pustaka Luar
19,Or 3357b,A-C,Pustaka Luar
20,Or 3357c,A-C,Pustaka Luar
21,Or 3357d,A-C,Pustaka Luar
22,Or 3357e,A-C,Pustaka Luar
23,Or 3357f,A-C,Pustaka Luar
24,Or 3357g,A-C,Pustaka Luar
25,Or 3359,A-B,calon Pustaka Jero
26,Or 3360,A-C,Pustaka Luar
27,Or 3362,A-C,Pustaka Luar
28,Or 3388,X,Ditunda
29,Or 7612,B,calon Pustaka Jero
30,Or 7722,X,Ditunda
31,Or 7785,B,Pustaka Luar
32,Or 7836,B,Pustaka Luar
33,Or 8781,B-X,Ditunda
34,Or 10814,A-C,Pustaka Luar
35,Or 10815,A-C,Pustaka Luar
36,Or 10816,A-C,Pustaka Luar
37,Or 10817,A-C-X,Ditunda
